year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,12,3,8446810.58228,885380400.0,44852892.5095
2009,4,235,92,8805085.75318,899841960.0,45843639.6096
2010,1,35,11,8870303.83201,897709333.0,45862699.0219
2011,0,0,0,8848186.21994,904469084.0,45729624.3199
2012,1,31,10,8710107.68671,922558464.0,45173500.7673
2013,2,72,22,9022153.03307,941009633.0,46078919.5162
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,4.0,19.5833333333,30.6666666667,1.04241543804,1.01633372503,1.02208881177
2010,1.0,2.91666666667,3.66666666667,1.05013646815,1.01392501234,1.02251374339
2011,0.0,0.0,0.0,1.04751801094,1.02155986737,1.01954682879
2012,1.0,2.58333333333,3.33333333333,1.03117118608,1.04199106282,1.00714799514
2013,2.0,6.0,7.33333333333,1.06811357319,1.06283088376,1.02733440227
