year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,22,1142,270,645762.287439,259904795.0,5244751.8028
2009,14,660,201,725942.647573,444252625.0,6579380.59164
2010,7,260,76,763729.708839,595211662.0,7628681.70652
2011,7,294,92,723938.362438,369887393.0,5995116.71069
2012,7,342,105,760008.361775,376675627.0,6333335.62569
2013,11,414,129,790907.781663,389594760.0,6553885.32998
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.636363636364,0.577933450088,0.744444444444,1.12416389389,1.70928983823,1.25446938941
2010,0.318181818182,0.227670753065,0.281481481481,1.18267932906,2.29011420124,1.45453626661
2011,0.318181818182,0.257443082312,0.340740740741,1.12106014321,1.42316494392,1.14306966966
2012,0.318181818182,0.299474605954,0.388888888889,1.17691660935,1.44928309999,1.20755678511
2013,0.5,0.362521891419,0.477777777778,1.22476613616,1.4989902745,1.24960828966
