year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,0,0,0,1385078.01852,23430000.0,3145190.79077
2009,0,0,0,748362.356923,44739303.0,2812517.16677
2010,0,0,0,812762.903061,81209960.0,4084965.91599
2011,0,0,0,798340.149746,81821470.0,4112912.28515
2012,0,0,0,862786.277778,80159086.0,4244195.34723
2013,1,37,12,899005.916667,81762267.0,4328806.6794
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,0,0,0,1,1,1
2009,0,0,0,0.54030339585,1.90948796415,0.894227839859
2010,0,0,0,0.586799365952,3.46606743491,1.29879749362
2011,0,0,0,0.576386412225,3.49216688007,1.30768292252
2012,0,0,0,0.622915291588,3.42121579172,1.34942381228
2013,1.0,1.0,1.0,0.649065182356,3.48964007682,1.37632562454
