year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,19,668,209,394901.019359,30611555.0,479928.762899
2009,13,420,129,410694.013207,31186036.0,490858.855919
2010,10,344,136,419136.868048,48002389.0,600799.757947
2011,12,423,140,427631.572916,48462868.0,604789.766289
2012,7,303,105,442916.074983,49490716.0,626783.571372
2013,7,241,82,459951.776005,50489601.0,648147.69757
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.684210526316,0.62874251497,0.617224880383,1.03999228433,1.01876680227,1.02277440709
2010,0.526315789474,0.51497005988,0.650717703349,1.06137195778,1.56811338072,1.25185195052
2011,0.631578947368,0.633233532934,0.66985645933,1.08288293003,1.58315603373,1.26016570175
2012,0.368421052632,0.453592814371,0.502392344498,1.12158757073,1.61673315844,1.30599293026
2013,0.368421052632,0.360778443114,0.392344497608,1.16472673773,1.64936413717,1.35050813303
