year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,8,321,82,291653.569182,30535740.0,464741.082973
2009,7,314,91,292059.467546,15830675.0,351644.99623
2010,8,248,78,294160.923532,16360168.0,370861.468362
2011,11,380,115,298120.246073,12705811.0,324963.461849
2012,5,168,51,305730.059744,16432330.0,355173.401404
2013,7,220,74,318520.40975,20040015.0,377301.972304
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.875,0.978193146417,1.10975609756,1.00139171403,0.518431025415,0.756647107634
2010,1.0,0.772585669782,0.951219512195,1.00859702954,0.53577113245,0.797995877596
2011,1.375,1.18380062305,1.40243902439,1.02217245929,0.416096384106,0.699235496397
2012,0.625,0.523364485981,0.621951219512,1.0482644207,0.53813433046,0.764239303166
2013,0.875,0.685358255452,0.90243902439,1.09211901861,0.656280640325,0.811854140138
