year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,30,1153,372,455417.832089,61124290.0,726813.076843
2009,22,796,340,475974.068243,56414491.0,736162.53791
2010,30,1177,356,490009.463809,73661094.0,878635.12921
2011,34,1406,462,491342.586027,66134496.0,791235.939739
2012,18,799,308,513586.832165,53799193.0,711734.999154
2013,19,635,207,534068.074391,56651467.0,743514.677165
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.733333333333,0.690372940156,0.913978494624,1.04513709105,0.922947178609,1.01286363904
2010,1.0,1.02081526453,0.956989247312,1.07595581306,1.20510347032,1.20888734285
2011,1.13333333333,1.21942758023,1.24193548387,1.07888306387,1.08196751242,1.08863745707
2012,0.6,0.692974848222,0.827956989247,1.12772666325,0.880160620271,0.97925453164
2013,0.633333333333,0.550737207285,0.556451612903,1.1726990837,0.926824131618,1.02297922376
