year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,6,188,58,2865197.06704,442168531.0,18148852.887
2009,6,221,66,2894510.67746,451011901.0,17717373.0452
2010,6,188,53,3362345.45712,1304371973.0,29003319.6971
2011,5,149,43,3002605.0247,740957712.0,21284389.5106
2012,5,170,54,3088430.16235,755776866.0,21941905.4349
2013,15,436,133,3186492.78023,770892402.0,22282992.4162
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,1.0,1.17553191489,1.13793103448,1.01023092295,1.0199999986,0.976225503366
2010,1.0,1.0,0.913793103448,1.17351280853,2.94994302297,1.59808004823
2011,0.833333333333,0.792553191489,0.741379310345,1.047957594,1.67573596955,1.172767758
2012,0.833333333333,0.904255319149,0.931034482759,1.07791195164,1.7092506884,1.20899682043
2013,2.5,2.31914893617,2.29310344828,1.1121373873,1.74343569918,1.22779067938
