year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,12,414,93,921522.466121,102114628.0,2849527.77016
2009,4,219,58,984656.359404,111452223.0,3021143.67286
2010,11,474,149,992237.227211,110580243.0,2980208.65585
2011,11,398,120,1013402.8769,111200183.0,3035306.48432
2012,7,230,73,1048185.67006,112638378.0,3099764.5545
2013,7,166,55,1088184.40334,113907331.0,3129610.48381
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.333333333333,0.528985507246,0.623655913978,1.06851042227,1.09144228582,1.06022608535
2010,0.916666666667,1.14492753623,1.60215053763,1.07673688238,1.08290305871,1.04586054119
2011,0.916666666667,0.961352657005,1.29032258065,1.09970501443,1.08897407921,1.06519631642
2012,0.583333333333,0.555555555556,0.784946236559,1.13744993595,1.1030582024,1.08781693127
2013,0.583333333333,0.400966183575,0.591397849462,1.1808549909,1.11548495285,1.09829092265
