year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,5,162,48,1007080.2746,25295244.0,1233813.82674
2009,4,215,58,1063758.26274,25801148.0,1292995.51152
2010,3,108,33,1082589.46987,25739999.0,1297632.33276
2011,3,95,29,1106479.41777,25933819.0,1314591.66708
2012,4,107,34,1161876.48425,26452494.0,1371226.01675
2013,8,305,81,1213707.24051,26981543.0,1432241.09835
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.8,1.32716049383,1.20833333333,1.05627951373,1.01999996521,1.0479664626
2010,0.6,0.666666666667,0.6875,1.07497832812,1.01758255425,1.05172458327
2011,0.6,0.586419753086,0.604166666667,1.09870031782,1.02524486421,1.0654700398
2012,0.8,0.66049382716,0.708333333333,1.1537079154,1.04574970694,1.1113718999
2013,1.6,1.88271604938,1.6875,1.2051742757,1.06666466629,1.16082432156
