year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,7,252,84,508764.656676,228826614.0,3626428.97327
2009,5,159,54,603235.750673,230156175.0,4471240.16751
2010,1,39,12,613970.615104,229610703.0,4294836.31571
2011,4,116,37,622904.142967,231339669.0,4342168.29186
2012,7,223,76,646589.775514,235966459.0,4413149.88649
2013,5,203,63,662042.377475,240685787.0,4506315.54853
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.714285714286,0.630952380952,0.642857142857,1.18568721855,1.0058103425,1.23295953139
2010,0.142857142857,0.154761904762,0.142857142857,1.20678708131,1.00342656383,1.18431557529
2011,0.571428571429,0.460317460317,0.440476190476,1.22434633537,1.01098235453,1.19736752708
2012,1.0,0.884920634921,0.904761904762,1.27090152004,1.03120198685,1.21694094081
2013,0.714285714286,0.805555555556,0.75,1.30127430981,1.05182602143,1.24263168581
