year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,8,322,102,508262.755374,16042716.0,670254.98649
2009,9,327,106,533284.25098,16363569.0,723589.224642
2010,11,435,136,545056.900391,18000000.0,742510.905899
2011,6,202,66,560074.453353,22791396.0,778682.852447
2012,11,418,146,580295.661475,23249427.0,831496.690003
2013,9,261,83,601013.31064,24045109.0,842965.36178
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,1.125,1.01552795031,1.03921568627,1.04922944942,1.01999991772,1.07957305686
2010,1.375,1.35093167702,1.33333333333,1.07239197566,1.12200452841,1.10780362827
2011,0.75,0.627329192547,0.647058823529,1.10193880514,1.42066941782,1.16177106943
2012,1.375,1.29813664596,1.43137254902,1.14172375477,1.44922013205,1.24056770448
2013,1.125,0.810559006211,0.813725490196,1.18248544534,1.49881784356,1.25767861302
