year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,39,1269,442,360296.091635,84896640.0,1318273.13468
2009,27,1179,415,362242.81844,86594572.0,1379071.39649
2010,31,1139,362,371545.255676,86389343.0,1386463.56964
2011,28,1029,318,380029.603243,80305991.0,1507537.10211
2012,25,1050,373,384731.654346,91212092.0,1664956.24646
2013,25,910,293,391781.490831,107599722.0,1613953.43885
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.692307692308,0.929078014184,0.938914027149,1.00540313051,1.01999999058,1.04611962439
2010,0.794871794872,0.8975571316,0.819004524887,1.03122199852,1.0175825922,1.05172709143
2011,0.717948717949,0.810874704492,0.719457013575,1.05477026275,0.945926611465,1.14356961578
2012,0.641025641026,0.827423167849,0.843891402715,1.06782078207,1.0743898934,1.26298276333
2013,0.641025641026,0.717100078802,0.662895927602,1.08738756797,1.2674202654,1.22429365842
