year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,8,272,82,1253431.03099,299576776.0,7653912.67248
2009,10,318,96,1353242.93275,305568312.0,8080508.50706
2010,3,106,34,1399386.19969,446332487.0,9330961.58614
2011,3,217,68,1422845.93956,472557776.0,9643051.92042
2012,7,285,89,1414270.01599,422217001.0,9205985.08111
2013,8,250,73,1501801.83028,430661340.0,9619226.19
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,1.25,1.16911764706,1.17073170732,1.07963094841,1.0200000016,1.0557356548
2010,0.375,0.389705882353,0.414634146341,1.11644451517,1.48987679539,1.21911001411
2011,0.375,0.797794117647,0.829268292683,1.13516093377,1.57741792374,1.2598852813
2012,0.875,1.04779411765,1.08536585366,1.1283189749,1.40937827904,1.20278156742
2013,1.0,0.919117647059,0.890243902439,1.19815274486,1.43756584122,1.25677239885
