year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,7,235,74,365876.447636,6897852.0,330642.079379
2009,8,280,86,379284.55824,7035808.0,340958.788035
2010,3,103,31,388216.50011,7085980.0,348578.96876
2011,8,220,104,398089.168667,15490809.0,371444.73698
2012,11,460,152,413373.203071,7213423.0,358930.224176
2013,10,364,120,424156.207429,7357691.0,360804.401748
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,1.14285714286,1.1914893617,1.16216216216,1.03664655293,1.01999984923,1.03120204384
2010,0.428571428571,0.43829787234,0.418918918919,1.06105900672,1.02727341787,1.0542486589
2011,1.14285714286,0.936170212766,1.40540540541,1.08804261996,2.24574389245,1.12340430981
2012,1.57142857143,1.95744680851,2.05405405405,1.12981637857,1.04574916945,1.08555518659
2013,1.42857142857,1.54893617021,1.62162162162,1.15928808801,1.06666408615,1.09122348379
