year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,6,221,72,702645.778818,63807464.0,1281871.18477
2009,4,188,65,739822.942367,70346646.0,1293063.77621
2010,4,146,44,754491.35765,69855877.0,1310238.49681
2011,6,177,61,773100.904893,70381888.0,1325203.19951
2012,4,99,33,803211.233276,71789523.0,1366421.52385
2013,10,408,134,842727.402863,73225311.0,1433320.67004
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.666666666667,0.850678733032,0.902777777778,1.05291024962,1.10248302612,1.00873144788
2010,0.666666666667,0.660633484163,0.611111111111,1.073786224,1.09479162187,1.02212961207
2011,1.0,0.800904977376,0.847222222222,1.1002711867,1.10303534395,1.0338037201
2012,0.666666666667,0.447963800905,0.458333333333,1.14312397155,1.12509600758,1.06595853007
2013,1.66666666667,1.84615384615,1.86111111111,1.19936307634,1.14759788917,1.11814719534
