year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,3,0,0,1628969.79371,193626277.0,8931308.79194
2009,5,159,39,1744886.2763,197609926.0,9518546.14545
2010,0,0,0,1828166.18914,311380275.0,11051415.225
2011,3,105,32,1879013.24663,313724967.0,11162450.4281
2012,6,208,65,1916149.62612,319999465.0,11433444.6613
2013,1,35,11,1942244.19835,326399453.0,11501738.731
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,0,0,1,1,1
2009,1.66666666667,1.0,1.0,1.07115938125,1.02057390692,1.06575042552
2010,0.0,0.0,0.0,1.12228366431,1.60815091745,1.23737914369
2011,1.0,0.660377358491,0.820512820513,1.1534979064,1.62026028626,1.24981127494
2012,2.0,1.30817610063,1.66666666667,1.17629536995,1.65266548507,1.28015332664
2013,0.333333333333,0.220125786164,0.282051282051,1.19231443447,1.68571878805,1.28779991812
