year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,13,474,152,834695.273892,223686000.0,4322840.99009
2009,7,233,72,846062.81774,228174720.0,4459737.48817
2010,9,332,107,920949.114987,227633982.0,5376471.35022
2011,11,403,144,909557.379232,232224450.0,5533002.50684
2012,7,301,96,918190.466599,268340807.0,5882746.54601
2013,12,328,96,967493.101763,423273410.0,6582756.0647
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.538461538462,0.491561181435,0.473684210526,1.01361879503,1.02006705829,1.03166817803
2010,0.692307692308,0.700421940928,0.703947368421,1.10333572478,1.01764966069,1.24373562723
2011,0.846153846154,0.850210970464,0.947368421053,1.08968794683,1.03817158874,1.27994587807
2012,0.538461538462,0.635021097046,0.631578947368,1.10003074813,1.19963165777,1.36085193961
2013,0.923076923077,0.691983122363,0.631578947368,1.15909737604,1.89226598893,1.52278468715
